cfg0: Number of string tested: 20, Number of Error: 0, Correct Rate: 100.00% 
cfg1: Number of string tested: 2, Number of Error: 0, Correct Rate: 100.00% 
cfg10: Number of string tested: 200, Number of Error: 0, Correct Rate: 100.00% 
cfg11: Number of string tested: 1, Number of Error: 0, Correct Rate: 100.00% 
cfg12: Number of string tested: 10, Number of Error: 0, Correct Rate: 100.00% 
cfg13: Number of string tested: 3, Number of Error: 0, Correct Rate: 100.00% 
cfg14: Number of string tested: 3, Number of Error: 0, Correct Rate: 100.00% 
cfg15: Number of string tested: 40, Number of Error: 0, Correct Rate: 100.00% 
cfg16: Number of string tested: 11100, Number of Error: 0, Correct Rate: 100.00% 
cfg17: Number of string tested: 1023, Number of Error: 0, Correct Rate: 100.00% 
cfg18: Number of string tested: 2046, Number of Error: 0, Correct Rate: 100.00% 
cfg19: Number of string tested: 16, Number of Error: 0, Correct Rate: 100.00% 
cfg2: Number of string tested: 10, Number of Error: 0, Correct Rate: 100.00% 
cfg20: Number of string tested: 88572, Number of Error: 0, Correct Rate: 100.00% 
cfg21: Number of string tested: 4092, Number of Error: 0, Correct Rate: 100.00% 
cfg22: Number of string tested: 2, Number of Error: 0, Correct Rate: 100.00% 
cfg23: Number of string tested: 8, Number of Error: 0, Correct Rate: 100.00% 
cfg24: Number of string tested: 3, Number of Error: 0, Correct Rate: 100.00% 
cfg3: Number of string tested: 1023, Number of Error: 0, Correct Rate: 100.00% 
cfg4: Number of string tested: 1, Number of Error: 0, Correct Rate: 100.00% 
cfg5: Number of string tested: 1022, Number of Error: 0, Correct Rate: 100.00% 
cfg6: Number of string tested: 10, Number of Error: 0, Correct Rate: 100.00% 
cfg7: Number of string tested: 1, Number of Error: 0, Correct Rate: 100.00% 
cfg8: Number of string tested: 10, Number of Error: 0, Correct Rate: 100.00% 
cfg9: Number of string tested: 2, Number of Error: 0, Correct Rate: 100.00% 
